카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1176845784.0,카페 공명 연남점,2207,1294,서울 마포구 연희로 11 1층 카페 공명 연남
1968041382.0,라헬의부엌 홍대점,1681,1052,"서울 마포구 와우산로29길 47 1,2층"
34658234.0,아오이토리,3219,1052,서울 마포구 와우산로29길 8 K.C빌딩
1403632278.0,PITC,316,575,서울 마포구 성미산로11길 13 (성산동)
37468319.0,바나나하루키,486,849,서울 마포구 동교로38길 6 3층
1176174041.0,고요베이크샵,1973,849,서울 마포구 동교로 144-3 단독주택
1130943497.0,마크스로프트,164,1477,서울 마포구 와우산로27길 20 1층
1299745145.0,스트로베리32 연남본점,1048,229,서울 마포구 연남로5길 8 1층 스트로베리32
1476308702.0,베베베 신촌점,112,93,서울 서대문구 연세로5나길 24 지상1층~4층
1256673550.0,슈크렌느,107,39,서울 마포구 월드컵로11길 80 1층
1166022931.0,파이인더샵,1347,1096,서울 마포구 성미산로27길 26
1883832743.0,943 킹스크로스CAFE,2412,1096,서울 마포구 양화로16길 24 B1층~4
38015815.0,일쩜오플로어,538,534,서울 마포구 동교로34길 21
1168064769.0,철부지붕어빠,65,42,서울 마포구 와우산로32길 25 1층 철부지붕어빠
21306384.0,파이홀,2808,42,서울 서대문구 연세로5나길 20
1865456225.0,하우에버 연남,4005,2900,서울 마포구 연희로1길 45-6 하우에버 연남
1215983970.0,표정,850,705,서울 마포구 동교로 262-10 1층
36398891.0,츄로101 홍대본점,1357,271,서울 마포구 어울마당로 128
1310686440.0,앤티크커피 연남점,2811,2267,서울 마포구 연희로 25-1 1층 앤티크커피
1703190567.0,오퍼 카페,1789,1646,서울 마포구 홍익로5길 19 오퍼베이커리카페
37992103.0,서울페이스트리 연남점,1079,608,서울 마포구 동교로41길 10 1층
1497090871.0,르바게트 메종,129,182,서울 서대문구 명물길 28 1층
1500504643.0,카페 레이어드 연남점,1956,3694,서울 마포구 성미산로 161-4
1689239430.0,그루밍커피,42,46,서울 서대문구 이화여대3길 26 1층 102호
1729088578.0,펠른,1288,676,서울 마포구 성미산로22길 18 A'동 1층 펠른 하우스
1910633529.0,청수당공명,1374,1560,서울 마포구 성미산로 152 청수당공명
1612839292.0,코티지블루,93,122,서울 마포구 동교로27길 61 2층 코티지블루
1543986977.0,랜디스도넛 연남점,13192,122,서울 마포구 동교로 247
1493242469.0,마가렛 연남,1383,1185,서울 마포구 성미산로29길 10 1층
38420402.0,버터베이커리,2307,636,서울 마포구 동교로 226
1751254128.0,훌리건 커피,515,2274,서울 마포구 와우산로29바길 11-5 1층
1367299797.0,베이크 샵 하벳,21,23,서울 마포구 월드컵로17길 64 1층
1914086649.0,모리노코,88,113,서울 마포구 연남로11길 34 1층
1383128698.0,치플레,5052,971,서울 마포구 동교로 262-9 1층
35453402.0,17도씨,806,971,서울 마포구 동교로29길 38 1층 17도씨
1653541790.0,카페드댕,424,587,"서울 마포구 동교로 269 1층, 2층"
35751361.0,리히트,1042,587,서울 서대문구 연희로4길 10 리히트
1602152491.0,하우스오브바이닐 연남점,48,36,서울 마포구 동교로 230 지1층
1154933297.0,커피하우스,127,81,서울 마포구 동교로46길 25 1층
1346475243.0,오버딥,287,160,"서울 마포구 성미산로 149-8 2, 3층, 루프탑"
