카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1706989564,카페오후,46,23,서울 종로구 낙산1길 22-1 지하1층
1214833616,카페라이킷,135,5,서울 마포구 방울내로11길 24 1층 일부
1620231784,피알커피클럽,33,21,서울 마포구 동교로 27-4 상가 1층
156284180,허니빙스,434,43,서울 마포구 방울내로7길 18
1133276112,라이너스 베이크샵,196,67,서울 마포구 방울내로 71 1층 라이너스베이크샵
11690045,파리바게뜨 망원점,2373,19,서울 마포구 포은로 120 망원우체국 사거리에서 망원시장 방향으로 300m
780372237,한드드립,97,30,서울 마포구 포은로 80
1136734194,페이브커피 망원시장점,277,8,서울 마포구 망원로8길 10 1층
1570284075,복래로커피,106,18,서울 마포구 월드컵로23길 18 102호
20668031,카페느림,173,30,서울 마포구 방울내로 42
1696913052,리어커피,48,12,서울 마포구 포은로 146 1층
37996787,원당수제고로케,5687,280,서울 마포구 망원로 80
311759278,아더커피,17,5,서울 마포구 희우정로 108 1층
1344819925,그랜비 베이커리,10,1,서울 마포구 희우정로16길 16 1층
1130739712,푸룬푸룻,13,2,서울 마포구 포은로8길 11 1층 2호
1069616156,할루,98,11,서울 마포구 포은로 133 1층
1685398218,꺄넬,23,10,서울 마포구 방울내로7길 33 효성빌딩 1층
1047383460,카페갭,57,3,서울 마포구 포은로 127 1층
1409709820,블랭크,141,66,서울 송파구 삼전로9길 5-21 1층 101호 카페 블랭크
1835257154,후르츠바스켓,13,14,서울 마포구 희우정로10길 20 1층 fruitsbasket
36317394,더치폴카페,80,4,서울 마포구 포은로 128
1744046450,메가MGC커피 마포시민공원점,2912,40,서울 마포구 망원로 19 1층 메가커피
1162558890,쥬씨 망원시장점,709,7,서울 마포구 망원로 77
1994564742,빽다방 마포시민공원점,344,7,서울 마포구 망원로 19 1층 빽다방 마포시민공원점
1771091711,다도살롱 초록달 2호점,17,19,서울 마포구 월드컵로13길 19-23 1층 102호
1893701606,오더댄,20,2,서울 마포구 월드컵로25길 58 104호 odder than
1066546554,카페이라,49,34,서울 마포구 월드컵로25길 51 영훈빌딩
327434030,이디야커피 한강공원로점,1527,34,서울 마포구 망원로 21
1363099011,슈가박스,60,8,서울 마포구 방울내로 24 1층
1415692407,컴포즈커피 망원시장점,357,2,서울 마포구 망원로8길 53
1512650391,메가MGC커피 망원망리단길점,1350,19,서울 마포구 동교로 39
1141846687,고릴라크로플,214,11,서울 마포구 월드컵로13길 46 1층
1606602084,망원23카페,14,2,서울 마포구 망원로 23 지층
1029176930,메가MGC커피 망원시장점,689,2,서울 마포구 망원로 79 1층
1104328326,파운디스트,1,1,서울 마포구 방울내로7길 23 102호
1857799227,메가MGC커피 마포중앙점,1227,4,서울 마포구 월드컵로 151 1층
36830589,그릿블라스트,2,127,서울 마포구 포은로 84 2층
1314460354,버터림,123,3,서울 마포구 월드컵로25길 26 1층
1117355682,달콤왕가탕후루 망원역점,78,11,서울 마포구 월드컵로13길 27
1961948880,카페 디퓨즈,90,16,서울 마포구 망원로11길 53-6 2층 디퓨즈
1827846166,수커피,21,13,충남 천안시 서북구 한들3로 70 근린생활시설 1동 105호
1988086351,예일타운커피랩 망원점,142,63,서울 마포구 망원로 67 1층
1256872004,bucfac,4,4,서울 마포구 망원로11길 41
